University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
Harvard University,MCA,IT,Software,1,9.58,Job,Regular,Deemed,Rural,English,1
DIT University,Animation & VFX,Design,Product Design,4,9.69,Job,Distance,Private,Semi-Urban,Hindi,0
IIT Delhi,BBA,Management,Marketing,1,5.54,Teaching,Distance,Deemed,Rural,English,0
IIT Delhi,BCA,IT,AI,6,5.69,Teaching,Distance,Private,Semi-Urban,Regional,0
Madras University,B.Tech Mechanical,Engineering,Computer Science,4,6.79,Teaching,Online,Private,Rural,English,0
Christ University,M.Tech AI,Engineering,Mechanical,2,7.11,Teaching,Online,Government,Semi-Urban,English,0
Lucknow University,Cyber Security Specialization,General,General Studies,3,7.93,Teaching,Regular,Government,Rural,English,0
Thapar University,MA Psychology,Arts,Political Science,4,8.87,Research,Distance,Private,Semi-Urban,English,1
BITS Pilani,Mass Communication,Commerce,Banking,5,5.68,Job,Regular,Government,Urban,Regional,0
MIT Manipal,M.Com,Commerce,Accounting,8,9.01,Teaching,Online,Government,Semi-Urban,Hindi,1
IIT Madras,B.Arch,General,General Studies,3,8.05,Job,Regular,Government,Rural,Hindi,1
Calcutta University,MBA Finance,Management,Finance,3,9.9,Teaching,Regular,Deemed,Semi-Urban,English,1
IIT Delhi,BCA,IT,AI,1,8.26,Research,Distance,Deemed,Urban,Hindi,1
Symbiosis International University,BA English,Arts,English,4,8.58,Job,Distance,Government,Urban,Hindi,0
Teerthanker Mahaveer University (TMU),BBA,Management,Finance,6,5.98,Teaching,Regular,Deemed,Semi-Urban,Hindi,0
Osmania University,M.Tech AI,Engineering,Electrical,7,8.84,Research,Online,Private,Rural,Hindi,1
BITS Pilani,B.Des UI/UX,General,General Studies,3,5.4,Research,Regular,Private,Rural,Regional,0
IIT Roorkee,B.Pharma,Medical,General Medicine,5,8.28,Job,Online,Government,Rural,Hindi,1
BITS Pilani,M.Tech AI,Engineering,Computer Science,8,5.28,Teaching,Regular,Government,Rural,English,0
OP Jindal Global University,B.Tech Mechanical,Engineering,Computer Science,6,5.58,Research,Regular,Deemed,Urban,Hindi,2
IIT Kanpur,LLM,General,General Studies,8,5.54,Research,Distance,Government,Urban,Regional,0
OP Jindal Global University,MA Psychology,Arts,History,8,5.26,Research,Regular,Government,Semi-Urban,Hindi,0
IIT BHU,B.Arch,General,General Studies,6,6.61,Job,Online,Private,Rural,English,1
Manipal Institute of Technology,B.Com,Commerce,Accounting,5,9.97,Job,Regular,Private,Semi-Urban,Regional,1
Harvard University,B.Ed,Education,Teaching,7,6.74,Teaching,Regular,Deemed,Urban,Hindi,0
Jamia Millia Islamia,MCA,IT,Data Science,5,8.8,Teaching,Online,Deemed,Semi-Urban,English,1
LPU Phagwara,Hotel Management,Management,HR,1,5.66,Job,Regular,Deemed,Semi-Urban,English,0
Patna University,LLM,General,General Studies,8,7.27,Job,Regular,Government,Rural,English,2
IIT Kharagpur,B.Tech Electronics,Engineering,Mechanical,2,5.93,Job,Regular,Government,Urban,Hindi,0
RV College of Engineering,MA English,Arts,English,7,5.96,Research,Regular,Government,Urban,Regional,0
Amrita University,PhD Research,Research,Interdisciplinary,4,5.5,Job,Online,Government,Semi-Urban,Hindi,0
IIT Roorkee,Animation & VFX,Design,Product Design,3,7.16,Teaching,Online,Private,Urban,Regional,1
Pune University,M.Sc Data Science,IT,Data Science,4,5.38,Research,Online,Deemed,Rural,Regional,1
IIT BHU,B.Com,Commerce,Banking,6,9.55,Job,Online,Deemed,Semi-Urban,English,2
Graphic Era University,MA English,Arts,History,3,7.24,Teaching,Regular,Private,Urban,English,1
University of Hyderabad,B.Des UI/UX,General,General Studies,7,9.19,Job,Online,Private,Rural,English,2
MIT Manipal,Hotel Management,Management,Finance,1,9.9,Teaching,Regular,Government,Urban,Hindi,2
IIT Guwahati,M.Com,Commerce,Banking,8,8.39,Research,Distance,Deemed,Rural,Regional,1
University of Oxford,Mass Communication,Commerce,Banking,8,9.51,Research,Regular,Deemed,Semi-Urban,English,2
Harvard University,Nursing,General,General Studies,4,5.68,Teaching,Regular,Private,Rural,Hindi,0
IIT Roorkee,B.Tech Mechanical,Engineering,Computer Science,1,9.15,Teaching,Online,Deemed,Urban,Regional,1
University of Hyderabad,PhD Research,Research,Interdisciplinary,1,6.36,Research,Online,Private,Semi-Urban,Regional,0
Rajasthan University,MBA Marketing,Management,Marketing,7,7.36,Research,Online,Deemed,Urban,Hindi,1
IIT Bombay,M.Com,Commerce,Accounting,4,8.23,Teaching,Distance,Private,Semi-Urban,Regional,1
Banaras Hindu University,B.Tech Electronics,Engineering,Electrical,4,9.52,Teaching,Regular,Government,Urban,Hindi,1
University of Oxford,Nursing,General,General Studies,7,9.55,Job,Distance,Deemed,Semi-Urban,English,1
Harvard University,MA Psychology,Arts,English,7,5.46,Job,Regular,Government,Semi-Urban,Regional,0
Shiv Nadar University,M.Des Interaction,General,General Studies,3,6.82,Research,Regular,Private,Rural,Hindi,0
Calcutta University,B.Pharma,Medical,Dentistry,6,8.97,Research,Distance,Deemed,Semi-Urban,English,0
Osmania University,PhD Research,Research,Interdisciplinary,6,8.52,Job,Distance,Deemed,Semi-Urban,English,2
IIT Bombay,B.Pharma,Medical,Dentistry,7,5.13,Job,Regular,Government,Rural,English,1
Calcutta University,MBBS,Medical,Dentistry,5,7.25,Research,Distance,Government,Semi-Urban,Regional,0
Banaras Hindu University,BCA,IT,Data Science,1,9.15,Research,Online,Private,Urban,English,1
BITS Pilani,B.Tech Electronics,Engineering,Electrical,8,8.69,Teaching,Regular,Government,Rural,English,1
IISc Bangalore,B.Des UI/UX,General,General Studies,6,7.06,Teaching,Online,Deemed,Rural,English,1
RV College of Engineering,Nursing,General,General Studies,2,8.68,Research,Distance,Deemed,Semi-Urban,Hindi,1
Galgotias University,Mass Communication,Commerce,Accounting,7,7.76,Job,Online,Deemed,Rural,Regional,1
MIT Manipal,B.Com,Commerce,Accounting,7,9.56,Teaching,Distance,Deemed,Urban,English,1
Amity University,Cyber Security Specialization,General,General Studies,3,7.94,Research,Online,Government,Semi-Urban,Regional,0
Chandigarh University,MBBS,Medical,Dentistry,7,7.0,Job,Distance,Government,Semi-Urban,English,1
Aligarh Muslim University,Animation & VFX,Design,UI/UX,3,9.31,Job,Regular,Private,Semi-Urban,Hindi,1
Amity University,BA Psychology,Arts,Political Science,5,5.25,Research,Regular,Government,Urban,English,0
IIT Madras,B.Sc Data Science,IT,Data Science,5,9.5,Teaching,Regular,Private,Urban,Regional,1
IIT BHU,B.Ed,Education,Teaching,7,8.48,Teaching,Regular,Government,Urban,English,2
Madras University,B.Tech Electrical,Engineering,Electrical,1,9.7,Research,Distance,Government,Rural,Regional,1
Massachusetts Institute of Technology (MIT USA),B.Tech Civil,Engineering,Electrical,3,6.25,Job,Online,Deemed,Rural,Regional,0
Allahabad University,B.Ed,Education,Teaching,3,8.47,Teaching,Regular,Government,Semi-Urban,Hindi,1
KIIT Bhubaneswar,BBA,Management,HR,2,9.05,Research,Distance,Private,Semi-Urban,English,1
Lucknow University,Hotel Management,Management,Marketing,1,8.51,Teaching,Distance,Deemed,Semi-Urban,Regional,1
SRM University,BBA,Management,Finance,1,6.05,Research,Regular,Government,Rural,Hindi,0
VIT Vellore,B.Pharma,Medical,Dentistry,6,6.38,Teaching,Regular,Deemed,Urban,Regional,0
Sharda University,Hotel Management,Management,Marketing,5,7.83,Teaching,Distance,Deemed,Urban,Hindi,0
Ashoka University,LLB,Law,Criminal Law,6,7.23,Teaching,Online,Deemed,Semi-Urban,English,1
IISc Bangalore,Animation & VFX,Design,Product Design,8,8.68,Research,Distance,Private,Urban,English,2
University of Oxford,B.Tech Mechanical,Engineering,Civil,1,6.89,Research,Regular,Private,Rural,English,0
University of Hyderabad,B.Pharma,Medical,General Medicine,7,9.3,Job,Regular,Government,Urban,English,2
Osmania University,BBA,Management,Finance,2,7.16,Teaching,Regular,Deemed,Semi-Urban,English,1
Graphic Era University,MA English,Arts,History,7,5.2,Teaching,Online,Government,Semi-Urban,English,0
Massachusetts Institute of Technology (MIT USA),B.Tech Computer Science,Engineering,Computer Science,7,5.09,Research,Online,Private,Urban,Regional,0
RV College of Engineering,Animation & VFX,Design,Product Design,1,8.23,Teaching,Online,Deemed,Semi-Urban,Regional,0
University of Oxford,Nursing,General,General Studies,6,7.7,Research,Distance,Private,Semi-Urban,Hindi,0
DIT University,B.Tech Computer Science,Engineering,Mechanical,4,7.71,Job,Distance,Deemed,Rural,English,0
IIT Delhi,B.Arch,General,General Studies,7,8.95,Teaching,Online,Deemed,Rural,English,2
IIT Madras,MA Psychology,Arts,English,7,6.88,Research,Online,Deemed,Urban,Regional,1
Graphic Era University,B.Tech Civil,Engineering,Computer Science,4,9.98,Research,Regular,Government,Semi-Urban,Hindi,1
IIT Indore,B.Tech Mechanical,Engineering,Civil,2,9.73,Teaching,Regular,Private,Urban,Hindi,1
IIT Kharagpur,MA English,Arts,English,5,5.06,Job,Distance,Private,Rural,Hindi,0
Thapar University,M.Sc Data Science,IT,Data Science,3,9.48,Research,Online,Private,Rural,English,1
BITS Pilani,B.Tech Electronics,Engineering,Computer Science,1,8.4,Teaching,Online,Deemed,Rural,English,0
Harvard University,B.Sc Data Science,IT,Software,6,7.51,Job,Distance,Government,Urban,Hindi,1
OP Jindal Global University,B.Tech Mechanical,Engineering,Mechanical,8,7.91,Research,Online,Government,Rural,English,1
IIT Guwahati,Mass Communication,Commerce,Banking,5,9.21,Job,Regular,Government,Semi-Urban,English,2
Galgotias University,Animation & VFX,Design,UI/UX,6,9.76,Research,Online,Government,Rural,English,1
Ashoka University,M.Sc Data Science,IT,AI,5,7.8,Teaching,Distance,Deemed,Urban,English,0
Calcutta University,MBA Finance,Management,Marketing,1,5.91,Teaching,Distance,Deemed,Rural,Hindi,1
Graphic Era University,LLB,Law,Corporate Law,3,8.2,Teaching,Online,Government,Urban,Hindi,0
University of Hyderabad,M.Tech AI,Engineering,Civil,1,5.38,Job,Distance,Government,Semi-Urban,Regional,0
IIT Bombay,B.Tech Civil,Engineering,Civil,3,8.18,Job,Regular,Private,Rural,English,1
Banaras Hindu University,M.Sc Data Science,IT,Software,6,9.04,Teaching,Regular,Deemed,Urban,English,0
Patna University,B.Tech Electronics,Engineering,Mechanical,2,6.77,Research,Regular,Government,Semi-Urban,English,1
Christ University,MBBS,Medical,Dentistry,3,5.36,Job,Online,Deemed,Semi-Urban,Regional,2
Manipal Institute of Technology,LLB,Law,Corporate Law,8,8.46,Job,Distance,Private,Rural,Regional,1
MIT Manipal,MBBS,Medical,General Medicine,5,6.7,Research,Regular,Government,Semi-Urban,Regional,0
Patna University,MBBS,Medical,Dentistry,2,6.25,Research,Distance,Deemed,Semi-Urban,Regional,0
RV College of Engineering,MCA,IT,AI,6,8.45,Teaching,Distance,Deemed,Urban,English,1
IIT BHU,B.Tech Electronics,Engineering,Electrical,4,9.85,Job,Distance,Deemed,Urban,English,1
DIT University,B.Com,Commerce,Accounting,2,8.73,Research,Regular,Deemed,Urban,English,1
BIT Mesra,M.Com,Commerce,Accounting,3,7.46,Research,Distance,Deemed,Rural,Regional,2
Shiv Nadar University,B.Tech Computer Science,Engineering,Mechanical,8,8.0,Teaching,Regular,Deemed,Semi-Urban,Hindi,1
LPU Phagwara,M.Com,Commerce,Accounting,2,5.71,Teaching,Regular,Private,Rural,Hindi,0
Amity University,B.Tech Civil,Engineering,Mechanical,8,9.07,Job,Regular,Deemed,Rural,English,2
Banaras Hindu University,Animation & VFX,Design,UI/UX,8,8.02,Research,Online,Private,Urban,Hindi,1
Ashoka University,MBA Marketing,Management,HR,6,9.83,Teaching,Distance,Private,Semi-Urban,Regional,1
Graphic Era University,M.Com,Commerce,Banking,2,9.9,Job,Online,Deemed,Rural,Regional,0
Allahabad University,LLB,Law,Criminal Law,6,6.77,Teaching,Online,Government,Rural,English,1
Ashoka University,B.Tech Mechanical,Engineering,Computer Science,4,9.94,Job,Online,Deemed,Rural,Hindi,0
Allahabad University,B.Pharma,Medical,Dentistry,3,9.78,Research,Online,Private,Rural,English,1
Rajasthan University,MBBS,Medical,General Medicine,7,8.2,Teaching,Regular,Deemed,Urban,Regional,1
Aligarh Muslim University,B.Arch,General,General Studies,5,6.67,Job,Regular,Deemed,Rural,Hindi,0
Moradabad Institute of Technology (MIT),BBA,Management,Finance,2,8.77,Job,Distance,Deemed,Urban,Regional,0
Aligarh Muslim University,MCA,IT,Data Science,7,6.36,Research,Distance,Private,Semi-Urban,Hindi,0
IIT Delhi,MCA,IT,Software,1,8.15,Teaching,Regular,Private,Rural,English,1
Christ University,Hotel Management,Management,HR,5,5.12,Job,Distance,Private,Urban,Regional,0
Ashoka University,BCA,IT,Software,2,8.14,Job,Distance,Government,Urban,English,0
University of Hyderabad,LLB,Law,Criminal Law,5,9.76,Job,Online,Government,Rural,Regional,1
University of Cambridge,MCA,IT,Data Science,7,6.18,Job,Online,Government,Urban,Hindi,0
Galgotias University,LLB,Law,Corporate Law,1,8.89,Teaching,Online,Government,Rural,Hindi,0
Shiv Nadar University,MA Psychology,Arts,English,5,6.47,Teaching,Online,Deemed,Urban,Regional,0
MIT Manipal,MCA,IT,Software,7,8.54,Job,Online,Government,Urban,Regional,0
IIT Kanpur,Animation & VFX,Design,UI/UX,5,8.5,Teaching,Regular,Government,Semi-Urban,Regional,1
MIT Manipal,B.Ed,Education,Teaching,1,5.92,Teaching,Online,Government,Rural,Hindi,0
Anna University,B.Sc Data Science,IT,Data Science,8,7.99,Research,Online,Deemed,Semi-Urban,English,1
University of Mumbai,B.Com,Commerce,Banking,1,9.3,Research,Regular,Government,Urban,English,2
Graphic Era University,PhD Research,Research,Interdisciplinary,1,6.91,Job,Online,Government,Rural,Regional,0
Banaras Hindu University,MBBS,Medical,General Medicine,8,8.55,Research,Distance,Government,Semi-Urban,English,2
Manipal Institute of Technology,M.Sc Data Science,IT,AI,8,8.37,Teaching,Regular,Private,Rural,English,1
BIT Mesra,B.Ed,Education,Teaching,4,6.29,Job,Distance,Government,Rural,English,1
IISc Bangalore,M.Com,Commerce,Accounting,6,9.59,Research,Distance,Government,Semi-Urban,English,2
IIT Bombay,MA Psychology,Arts,History,6,7.82,Job,Regular,Government,Semi-Urban,Hindi,2
Jamia Millia Islamia,LLM,General,General Studies,7,6.78,Job,Regular,Deemed,Semi-Urban,Hindi,1
MIT Manipal,BCA,IT,Software,1,5.82,Research,Online,Government,Urban,Hindi,0
Graphic Era University,B.Des UI/UX,General,General Studies,7,7.37,Teaching,Regular,Government,Semi-Urban,Regional,1
IIT Indore,B.Ed,Education,Teaching,6,8.65,Teaching,Regular,Private,Semi-Urban,Regional,2
Harvard University,M.Com,Commerce,Banking,5,8.12,Research,Online,Private,Urban,Hindi,0
PES University,Nursing,General,General Studies,1,8.64,Research,Online,Deemed,Semi-Urban,English,1
Pune University,Animation & VFX,Design,UI/UX,8,8.96,Research,Regular,Deemed,Rural,Hindi,2
OP Jindal Global University,MBA HR,Management,Marketing,2,7.21,Research,Online,Government,Rural,English,0
Pune University,Hotel Management,Management,Marketing,1,7.6,Job,Online,Private,Rural,English,1
Moradabad Institute of Technology (MIT),B.Sc Data Science,IT,Data Science,8,9.93,Teaching,Online,Deemed,Urban,Hindi,0
VIT Vellore,B.Pharma,Medical,General Medicine,1,9.84,Teaching,Distance,Deemed,Semi-Urban,Regional,2
LPU Phagwara,M.Des Interaction,General,General Studies,6,7.07,Research,Online,Private,Rural,English,1
LPU Phagwara,MBA Marketing,Management,Marketing,7,8.43,Teaching,Distance,Government,Urban,English,0
IFTM University,MBBS,Medical,Dentistry,3,6.34,Teaching,Regular,Private,Urban,Hindi,0
PES University,B.Ed,Education,Teaching,5,5.76,Teaching,Distance,Government,Urban,English,0
Christ University,Nursing,General,General Studies,8,8.84,Research,Distance,Government,Urban,English,1
BIT Mesra,Nursing,General,General Studies,8,7.18,Research,Distance,Private,Urban,Hindi,1
Punjab University,MCA,IT,Data Science,8,5.89,Teaching,Distance,Government,Rural,English,0
Punjab University,B.Des UI/UX,General,General Studies,6,8.79,Research,Distance,Deemed,Urban,Regional,1
Amrita University,B.Ed,Education,Teaching,7,9.58,Teaching,Distance,Private,Semi-Urban,Regional,1
University of Mumbai,B.Tech Electronics,Engineering,Electrical,7,9.67,Research,Regular,Deemed,Rural,Regional,2
VIT Vellore,BCA,IT,Data Science,5,7.98,Teaching,Regular,Government,Urban,Hindi,0
MIT Manipal,B.Pharma,Medical,Dentistry,7,7.4,Research,Regular,Government,Rural,Hindi,1
Madras University,B.Tech Mechanical,Engineering,Civil,8,5.71,Teaching,Distance,Private,Rural,Regional,1
UPES Dehradun,B.Arch,General,General Studies,2,8.96,Research,Online,Private,Semi-Urban,Hindi,1
MIT Manipal,B.Sc Data Science,IT,Data Science,8,9.73,Research,Distance,Government,Urban,Hindi,1
IIT Kharagpur,B.Pharma,Medical,Dentistry,4,9.45,Teaching,Regular,Private,Semi-Urban,Hindi,1
University of Oxford,B.Tech Computer Science,Engineering,Computer Science,3,8.76,Job,Distance,Government,Urban,Regional,0
University of Cambridge,B.Des UI/UX,General,General Studies,2,5.02,Teaching,Regular,Deemed,Urban,Hindi,0
Graphic Era University,M.Sc Data Science,IT,Data Science,2,7.04,Teaching,Online,Private,Rural,Hindi,0
Calcutta University,B.Arch,General,General Studies,8,7.05,Job,Online,Deemed,Urban,Regional,1
IIT Kanpur,B.Tech Civil,Engineering,Computer Science,5,9.47,Research,Regular,Private,Rural,Regional,0
Ashoka University,M.Tech AI,Engineering,Civil,3,5.33,Job,Regular,Deemed,Semi-Urban,Hindi,2
DIT University,M.Tech AI,Engineering,Electrical,5,7.66,Teaching,Distance,Government,Urban,Hindi,0
Jamia Millia Islamia,B.Tech Mechanical,Engineering,Civil,4,5.68,Job,Distance,Government,Urban,English,0
Teerthanker Mahaveer University (TMU),MA English,Arts,History,7,8.31,Research,Distance,Government,Semi-Urban,Regional,1
Madras University,B.Des UI/UX,General,General Studies,5,8.96,Teaching,Online,Government,Semi-Urban,English,1
VIT Vellore,B.Tech Mechanical,Engineering,Civil,1,8.21,Teaching,Online,Private,Rural,English,1
Rajasthan University,MBA Finance,Management,HR,5,8.97,Research,Online,Deemed,Semi-Urban,English,1
Moradabad Institute of Technology (MIT),LLM,General,General Studies,7,8.04,Research,Distance,Private,Urban,English,1
Symbiosis International University,MA Psychology,Arts,English,1,5.95,Teaching,Regular,Private,Rural,Regional,0
IIT Roorkee,M.Des Interaction,General,General Studies,2,6.91,Research,Regular,Government,Semi-Urban,Regional,0
Ashoka University,MA Psychology,Arts,English,4,9.78,Job,Distance,Private,Urban,Regional,0
University of Oxford,B.Tech Computer Science,Engineering,Mechanical,7,6.44,Job,Distance,Deemed,Urban,English,1
Galgotias University,B.Tech Computer Science,Engineering,Civil,6,5.31,Job,Regular,Private,Urban,Regional,0
Thapar University,BA English,Arts,English,1,6.92,Job,Regular,Deemed,Semi-Urban,Regional,0
